Data, Giorno della settimana,Alba,Tramonto,Lunghezza di giorno
01/04/2020, mercoledì ,06:53,19:34,12:41
02/04/2020, giovedì,06:51,19:36,12:44
03/04/2020, venerdì,06:50,19:37,12:47
04/04/2020, sabato,06:48,19:38,12:49
05/04/2020, domenica,06:46,19:39,12:52
06/04/2020, lunedì,06:45,19:40,12:55
07/04/2020, martedì,06:43,19:41,12:58
08/04/2020, mercoledì,06:41,19:42,13:00
09/04/2020, giovedì,06:40,19:43,13:03
10/04/2020, venerdì,06:38,19:44,13:06
11/04/2020, sabato,06:36,19:45,13:09
12/04/2020, domenica,06:35,19:47,13:11
13/04/2020, lunedì,06:33,19:48,13:14
14/04/2020, martedì,06:32,19:49,13:17
15/04/2020, mercoledì,06:30,19:50,13:19
16/04/2020, giovedì,06:28,19:51,13:22
17/04/2020, venerdì,06:27,19:52,13:25
18/04/2020, sabato,06:25,19:53,13:27
19/04/2020, domenica,06:24,19:54,13:30
20/04/2020, lunedì,06:22,19:55,13:33
21/04/2020, martedì,06:21,19:56,13:35
22/04/2020, mercoledì,06:19,19:58,13:38
23/04/2020, giovedì,06:18,19:59,13:40
24/04/2020, venerdì,06:16,20:00,13:43
25/04/2020, sabato,06:15,20:01,13:46
26/04/2020, domenica,06:13,20:02,13:48
27/04/2020, lunedì,06:12,20:03,13:51
28/04/2020, martedì,06:11,20:04,13:53
29/04/2020, mercoledì,06:09,20:05,13:55
30/04/2020, giovedì,06:08,20:06,13:58