Data,Giorno della settimana, Alba,Tramonto,Lunghezza di giorno
01/12/2019, domenica,07:18,16:39,09:20
02/12/2019, lunedì,07:19,16:38,09:19
03/12/2019, martedì,07:20,16:38,09:18
04/12/2019, mercoledì,07:21,16:38,09:16
05/12/2019, giovedì,07:22,16:38,09:15
06/12/2019, venerdì,07:23,16:38,09:14
07/12/2019, sabato,07:24,16:38,09:13
08/12/2019, domenica,07:25,16:38,09:12
09/12/2019, lunedì,07:26,16:38,09:11
10/12/2019, martedì,07:27,16:38,09:10
11/12/2019, mercoledì,07:27,16:38,09:10
12/12/2019, giovedì,07:28,16:38,09:09
13/12/2019, venerdì,07:29,16:38,09:08
14/12/2019, sabato,07:30,16:38,09:08
15/12/2019, domenica,07:31,16:38,09:07
16/12/2019, lunedì,07:31,16:39,09:07
17/12/2019, martedì,07:32,16:39,09:06
18/12/2019, mercoledì,07:33,16:39,09:06
19/12/2019, giovedì,07:33,16:40,09:06
20/12/2019, venerdì,07:34,16:40,09:06
21/12/2019, sabato,07:34,16:41,09:06
22/12/2019, domenica,07:35,16:41,09:06
23/12/2019, lunedì,07:35,16:42,09:06
24/12/2019, martedì,07:36,16:42,09:06
25/12/2019, mercoledì,07:36,16:43,09:06
26/12/2019, giovedì,07:37,16:43,09:06
27/12/2019, venerdì,07:37,16:44,09:07
28/12/2019, sabato,07:37,16:45,09:07
29/12/2019, domenica,07:37,16:46,09:08
30/12/2019, lunedì,07:38,16:46,09:08
31/12/2019, martedì,07:38,16:47,09:09