Data,Giorno della settimana,Alba,Tramonto,Lunghezza di giorno,
01/02/2020, sabato,07:24,17:23,09:59,
02/02/2020, domenica,07:23,17:24,10:01,
03/02/2020, lunedì,07:22,17:26,10:03,
04/02/2020, martedì,07:20,17:27,10:06,
05/02/2020, mercoledì,07:19,17:28,10:08,
06/02/2020, giovedì,07:18,17:29,10:11,
07/02/2020, venerdì,07:17,17:31,10:13,
08/02/2020, sabato,07:16,17:32,10:16,
09/02/2020, domenica,07:15,17:33,10:18,
10/02/2020, lunedì,07:14,17:35,10:20,
11/02/2020, martedì,07:12,17:36,10:23,
12/02/2020, mercoledì,07:11,17:37,10:26,
13/02/2020, giovedì,07:10,17:38,10:28,
14/02/2020, venerdì,07:08,17:40,10:31,
15/02/2020, sabato,07:07,17:41,10:33,
16/02/2020, domenica,07:06,17:42,10:36,
17/02/2020, lunedì,07:04,17:43,10:39,
18/02/2020, martedì,07:03,17:45,10:41,
19/02/2020, mercoledì,07:02,17:46,10:44,
20/02/2020, giovedì,07:00,17:47,10:46,
21/02/2020, venerdì,06:59,17:48,10:49,
22/02/2020, sabato,06:57,17:50,10:52,
23/02/2020, domenica,06:56,17:51,10:55,
24/02/2020, lunedì,06:54,17:52,10:57,
25/02/2020, martedì,06:53,17:53,11:00,
26/02/2020, mercoledì,06:51,17:54,11:03,
27/02/2020, giovedì,06:50,17:56,11:06,
28/02/2020, venerdì,06:48,17:57,11:08,
29/02/2020, sabato,06:47,17:58,11:11,