Data;Alba;Tramonto;Lunghezza 
1giugno 2020;lunedì;05:38;20:37;14:59
2giugno 2020;martedì;05:38;20:38;15:00
3giugno 2020;mercoledì;05:37;20:39;15:01
4giugno 2020;giovedì;05:37;20:40;15:02
5giugno 2020;venerdì;05:36;20:40;15:03
6giugno 2020;sabato;05:36;20:41;15:04
7giugno 2020;domenica;05:36;20:41;15:05
8giugno 2020;lunedì;05:36;20:42;15:06
9giugno 2020;martedì;05:35;20:43;15:07
10giugno 2020;mercoledì;05:35;20:43;15:07
11giugno 2020;giovedì;05:35;20:44;15:08
12giugno 2020;venerdì;05:35;20:44;15:09
13giugno 2020;sabato;05:35;20:45;15:09
14giugno 2020;domenica;05:35;20:45;15:10
15giugno 2020;lunedì;05:35;20:45;15:10
16giugno 2020;martedì;05:35;20:46;15:10
17giugno 2020;mercoledì;05:35;20:46;15:10
18giugno 2020;giovedì;05:35;20:46;15:11
19giugno 2020;venerdì;05:35;20:47;15:11
20giugno 2020;sabato;05:36;20:47;15:11
21giugno 2020;domenica;05:36;20:47	15:11
22giugno 2020;lunedì;05:36;20:47;15:11
23giugno 2020;martedì;05:36;20:47;15:11
24giugno 2020;mercoledì;05:37;20:48	15:10
25giugno 2020;giovedì;05:37;20:48;15:10
26giugno 2020;venerdì;05:37;20:48;15:10
27giugno 2020;sabato;05:38;20:48;15:09
28giugno 2020;domenica;05:38;20:48;15:09
29giugno 2020;lunedì;05:39;20:48;15:08
30giugno 2020;martedì;05:39;20:47;15:08