Stazione,Data,Dato_pluviometrico_giornaliero	,T-MIN,T-MAX	,Giorno_della_settimana,Alba,Tramonto,Lunghezza_giorno
Pomezia,2019/10/20,0	,15.1,25.1	,domenica,07:28,18:20,10:52
Pomezia,2019/10/21,0	,17.9,27.4	,lunedì,07:29,18:19,10:49
Pomezia,2019/10/22,0	,16.9,28.6	,martedì,07:30,18:17,10:46
Pomezia,2019/10/23,0	,16.7,27.9	,mercoledì,07:32,18:16,10:44
Pomezia,2019/10/24,20.5	,15.6,25.2	,giovedì,07:33,18:14,10:41
Pomezia,2019/10/25,0	,15.5,25.7	,venerdì,07:34,18:13,10:38
Pomezia,2019/10/26,0	,16.2,26.9	,sabato,07:35,18:11,10:36
Pomezia,2019/10/27,0	,14.1,24.8	,domenica,06:36,17:10,10:33
Pomezia,2019/10/28,0	,13.9,23.8	,lunedì,06:37,17:09,10:31
Pomezia,2019/10/29,0	,14.5,22.3	,martedì,06:39,17:07,10:28
Pomezia,2019/10/30,0	,14.3,23.0	,mercoledì,06:40,17:06,10:26
Pomezia,2019/10/31,17.7	,14.6,24.1	,giovedì,06:41,17:05,10:23
Pomezia,2019/11/01,22.1	,15.2,21.3	,venerdì,06:42,17:03,10:21
Pomezia,2019/11/02,12.1	,14.4,21.6	,sabato,06:44,17:02,10:18
Pomezia,2019/11/03,13.2	,16.1,22.1	,domenica,06:45,17:01,10:16
Pomezia,2019/11/04,0.6	,12.8,21.1	,lunedì,06:46,17:00,10:13
Pomezia,2019/11/05,5	,16.1,22.5	,martedì,06:47,16:59,10:11
Pomezia,2019/11/06,4.9	,11.6,19.1	,mercoledì,06:48,16:57,10:09
Pomezia,2019/11/07,0	,10.4,20.6	,giovedì,06:50,16:56,10:06
Pomezia,2019/11/08,14.1	,10.9,16.7	,venerdì,06:51,16:55,10:04
Pomezia,2019/11/09,5.2	,9.4,15.4	,sabato,06:52,16:54,10:02
Pomezia,2019/11/10,5.6	,9.0,17.5	,domenica,06:53,16:53,09:59
Pomezia,2019/11/11,66.5	,11.7,14.5	,lunedì,06:55,16:52,09:57
Pomezia,2019/11/12,7	,11.6,15.5	,martedì,06:56,16:51,09:55
Pomezia,2019/11/13,2.4	,10.3,16.9	,mercoledì,06:57,16:50,09:53
Pomezia,2019/11/14,2	,11.2,16.9	,giovedì,06:58,16:49,09:50
Pomezia,2019/11/15,40.7	,13.9,18.5	,venerdì,06:59,16:48,09:48
Pomezia,2019/11/16,1.6	,13.0,19.1	,sabato,07:01,16:47,09:46
Pomezia,2019/11/17,11.8	,9.5,19.0	,domenica,07:02,16:47,09:44
Pomezia,2019/11/18,16.7	,9.0,16.5	,lunedì,07:03,16:46,09:42
Pomezia,2019/11/19,4.7	,11.7,16.6	,martedì,07:04,16:45,09:40
Pomezia,2019/11/20,5.6	,10.0,16.4	,mercoledì,07:05,16:44,09:38
Pomezia,2019/11/21,9.4	,9.7,13.9	,giovedì,07:07,16:44,09:36
Pomezia,2019/11/22,2.8	,10.1,17.2	,venerdì,07:08,16:43,09:35
Pomezia,2019/11/23,26.8	,12.8,18.4	,sabato,07:09,16:42,09:33
Pomezia,2019/11/24,26	,12.4,14.5	,domenica,07:10,16:42,09:31
Pomezia,2019/11/25,0.2	,11.2,18.7	,lunedì,07:11,16:41,09:29
Pomezia,2019/11/26,0	,10.4,19.4	,martedì,07:12,16:41,09:28
Pomezia,2019/11/27,9.2	,11.2,17.6	,mercoledì,07:14,16:40,09:26
Pomezia,2019/11/28,0.2	,14.2,17.7	,giovedì,07:15,16:40,09:25
Pomezia,2019/11/29,0	,11.6,17.6	,venerdì,07:16,16:39,09:23
Pomezia,2019/11/30,0	,9.1,18.3	,sabato,07:17,16:39,09:22
Pomezia,2019/12/01,0	,9.4,17.6	,domenica,07:18,16:39,09:20
Pomezia,2019/12/02,16.4	,13.2,16.9	,lunedì,07:19,16:38,09:19
Pomezia,2019/12/03,0.4	,9,15.7	    ,martedì,07:20,16:38,09:18
Pomezia,2019/12/04,0	,5.6,14.8	,mercoledì,07:21,16:38,09:16
Pomezia,2019/12/05,0	,7.3,17.3	,giovedì,07:22,16:38,09:15
Pomezia,2019/12/06,0.4	,8.9,17.7	,venerdì,07:23,16:38,09:14
Pomezia,2019/12/07,1.2	,10.9,17	,sabato,07:24,16:38,09:13
Pomezia,2019/12/08,0.4	,10.9,17.2	,domenica,07:25,16:38,09:12
Pomezia,2019/12/09,2.4	,10.1,15.9	,lunedì,07:26,16:38,09:11
Pomezia,2019/12/10,0	,6.9,15.1	,martedì,07:27,16:38,09:10
Pomezia,2019/12/11,0	,5.9,13.5	,mercoledì,07:27,16:38,09:10
Pomezia,2019/12/12,2.4	,4.9,13.3	,giovedì,07:28,16:38,09:09
Pomezia,2019/12/13,18.7	,4.5,15.3	,venerdì,07:29,16:38,09:08
Pomezia,2019/12/14,0	,6.2,15.3	,sabato,07:30,16:38,09:08
Pomezia,2019/12/15,0	,8.2,18.4	,domenica,07:31,16:38,09:07
Pomezia,2019/12/16,0	,11.9,17.7	,lunedì,07:31,16:39,09:07
Pomezia,2019/12/17,0	,13,18.1	,martedì,07:32,16:39,09:06
Pomezia,2019/12/18,0	,13.3,18.5	,mercoledì,07:33,16:39,09:06
Pomezia,2019/12/19,1.2	,10.2,16.5	,giovedì,07:33,16:40,09:06
Pomezia,2019/12/20,1.8	,8,15.4 	,venerdì,07:34,16:40,09:06
Pomezia,2019/12/21,14.6	,11.6,17.7	,sabato,07:34,16:41,09:06
Pomezia,2019/12/22,13.9	,12.2,16.5	,domenica,07:35,16:41,09:06
Pomezia,2019/12/23,9.2	,9.6,16.4	,lunedì,07:35,16:42,09:06
Pomezia,2019/12/24,0	,6.9,15.5	,martedì,07:36,16:42,09:06
Pomezia,2019/12/25,0	,7.5,16.8	,mercoledì,07:36,16:43,09:06
Pomezia,2019/12/26,0	,5.9,16.6	,giovedì,07:37,16:43,09:06
Pomezia,2019/12/27,0	,6.9,15.1	,venerdì,07:37,16:44,09:07
Pomezia,2019/12/28,0	,4.6,12.8	,sabato,07:37,16:45,09:07
Pomezia,2019/12/29,0	,3.3,11.1	,domenica,07:37,16:46,09:08
Pomezia,2019/12/30,0	,3.1,11.2	,lunedì,07:38,16:46,09:08
Pomezia,2019/12/31,0	,2.4,12.1	,martedì,07:38,16:47,09:09
Pomezia,2020/01/01,0	,3.3,14.1	,mercoledì,07:38,16:48,09:09
Pomezia,2020/01/02,0	,6.3,16.4	,giovedì,07:38,16:49,09:10
Pomezia,2020/01/03,0	,4.7,14.5	,venerdì,07:38,16:50,09:11
Pomezia,2020/01/04,0	,8.1,15.9	,sabato,07:38,16:51,09:12
Pomezia,2020/01/05,0	,5.6,16.1	,domenica,07:38,16:51,09:13
Pomezia,2020/01/06,0	,4.1,12	    ,lunedì,07:38,16:52,09:14
Pomezia,2020/01/07,0	,2.9,12.7	,martedì,07:38,16:53,09:15
Pomezia,2020/01/08,0	,4.8,14.8	,mercoledì,07:38,16:54,09:16
Pomezia,2020/01/09,0	,3.4,14.6	,giovedì,07:38,16:55,09:17
Pomezia,2020/01/10,0	,6.6,17	    ,venerdì,07:38,16:56,09:18
Pomezia,2020/01/11,0	,4.8,14.9	,sabato,07:37,16:58,09:20
Pomezia,2020/01/12,0	,4.9,14.8	,domenica,07:37,16:59,09:21
Pomezia,2020/01/13,0	,5.2,15.7	,lunedì,07:37,17:00,09:23
Pomezia,2020/01/14,0	,5.9,16.6	,martedì,07:36,17:01,09:24
Pomezia,2020/01/15,0	,4.2,15.4	,mercoledì,07:36,17:02,09:26
Pomezia,2020/01/16,0	,4.5,13.8	,giovedì,07:35,17:03,09:27
Pomezia,2020/01/17,0	,4.6,15.1	,venerdì,07:35,17:04,09:29
Pomezia,2020/01/18,14.6	,6.2,13.2	,sabato,07:34,17:06,09:31
Pomezia,2020/01/19,0	,6,14.2	    ,domenica,07:34,17:07,09:32
Pomezia,2020/01/20,0	,7.6,12.9	,lunedì,07:33,17:08,09:34
Pomezia,2020/01/21,0	,5.9,17.1	,martedì,07:33,17:09,09:36
Pomezia,2020/01/22,0	,5.2,16.2	,mercoledì,07:32,17:10,09:38
Pomezia,2020/01/23,0.2	,5.7,16.2	,giovedì,07:31,17:12,09:40
Pomezia,2020/01/24,0	,7.2,12.6	,venerdì,07:31,17:13,09:42
Pomezia,2020/01/25,3.4	,9.4,16.2	,sabato,07:30,17:14,09:44
Pomezia,2020/01/26,0	,8.6,16	    ,domenica,07:29,17:15,09:46
Pomezia,2020/01/27,5	,7.4,15.3	,lunedì,07:28,17:17,09:48
Pomezia,2020/01/28,1.6	,8.7,13.8	,martedì,07:27,17:18,09:50
Pomezia,2020/01/29,0	,8.5,15.6	,mercoledì,07:26,17:19,09:52
Pomezia,2020/01/30,0	,6.7,15.9	,giovedì,07:26,17:20,09:54
Pomezia,2020/01/31,0	,10.2,14.4	,venerdì,07:25,17:22,09:57
Pomezia,2020/02/01,0	,11.1,15.1	,sabato,07:24,17:23,09:59,
Pomezia,2020/02/02,0	,11.7,16.2	,domenica,07:23,17:24,10:01,
Pomezia,2020/02/03,0	,10.0,18.3	,lunedì,07:22,17:26,10:03,
Pomezia,2020/02/04,0	,8.0,18.2	,martedì,07:20,17:27,10:06,
Pomezia,2020/02/05,0	,4.4,13.5	,mercoledì,07:19,17:28,10:08,
Pomezia,2020/02/06,0	,4.8,13.6	,giovedì,07:18,17:29,10:11,
Pomezia,2020/02/07,0	,3.3,14.8	,venerdì,07:17,17:31,10:13,
Pomezia,2020/02/08,0	,2.9,15.3	,sabato,07:16,17:32,10:16,
Pomezia,2020/02/09,1.2	,5.9,16.1	,domenica,07:15,17:33,10:18,
Pomezia,2020/02/10,0.4	,9.0,13.8	,lunedì,07:14,17:35,10:20,
Pomezia,2020/02/11,0	,10.2,18.7	,martedì,07:12,17:36,10:23,
Pomezia,2020/02/12,0	,7.8,17.9	,mercoledì,07:11,17:37,10:26,
Pomezia,2020/02/13,0	,7.0,15.7	,giovedì,07:10,17:38,10:28,
Pomezia,2020/02/14,0.4	,10.6,18.4	,venerdì,07:08,17:40,10:31,
Pomezia,2020/02/15,0	,7.8,17.5	,sabato,07:07,17:41,10:33,
Pomezia,2020/02/16,0	,5.7,16.5	,domenica,07:06,17:42,10:36,
Pomezia,2020/02/17,0	,6.5,16.7	,lunedì,07:04,17:43,10:39,
Pomezia,2020/02/18,0.2	,7.9,15.2	,martedì,07:03,17:45,10:41,
Pomezia,2020/02/19,3.4	,8.5,14.4	,mercoledì,07:02,17:46,10:44,
Pomezia,2020/02/20,0	,5.5,17.0	,giovedì,07:00,17:47,10:46,
Pomezia,2020/02/21,0	,5.4,17.1	,venerdì,06:59,17:48,10:49,
Pomezia,2020/02/22,0	,7.0,16.4	,sabato,06:57,17:50,10:52,
Pomezia,2020/02/23,0	,7.7,16.7	,domenica,06:56,17:51,10:55,
Pomezia,2020/02/24,0	,10.8,16.7	,lunedì,06:54,17:52,10:57,
Pomezia,2020/02/25,0	,9.9,17.9	,martedì,06:53,17:53,11:00,
Pomezia,2020/02/26,2.2	,6.1,17.4	,mercoledì,06:51,17:54,11:03,
Pomezia,2020/02/27,1.2	,4.2,14.9	,giovedì,06:50,17:56,11:06,
Pomezia,2020/02/28,0	,9.9,17.9	,venerdì,06:48,17:57,11:08,
Pomezia,2020/02/29,0	,7.4,16.0	,sabato,06:47,17:58,11:11,
Pomezia,2020/03/01,5.7	,11.1,15.3	,domenica,06:45,17:59,11:14
Pomezia,2020/03/02,5.4	,9.4,15.8	,lunedì,06:43,18:00,11:17
Pomezia,2020/03/03,0	,7.7,13.3	,martedì,06:42,18:02,11:19
Pomezia,2020/03/04,0	,6.1,16.6	,mercoledì,06:40,18:03,11:22
Pomezia,2020/03/05,0	,6.1,15.7	,giovedì,06:39,18:04,11:25
Pomezia,2020/03/06,4.4	,10.4,15.4	,venerdì,06:37,18:05,11:28
Pomezia,2020/03/07,0	,7.6,16.5	,sabato,06:35,18:06,11:31
Pomezia,2020/03/08,0	,6.9,18.2	,domenica,06:34,18:07,11:33
Pomezia,2020/03/09,5.4	,6.0,15.9	,lunedì,06:32,18:09,11:36
Pomezia,2020/03/10,0	,6.3,16.1	,martedì,06:30,18:10,11:39
Pomezia,2020/03/11,0	,7.5,18.0	,mercoledì,06:29,18:11,11:42
Pomezia,2020/03/12,0	,8.4,17.2	,giovedì,06:27,18:12,11:45
Pomezia,2020/03/13,0	,10.2,15.8	,venerdì,06:25,18:13,11:47
Pomezia,2020/03/14,0	,11.7,16.3	,sabato,06:24,18:14,11:50
Pomezia,2020/03/15,0	,9.4,17.7	,domenica,06:22,18:15,11:53
Pomezia,2020/03/16,0	,8.3,17.4	,lunedì,06:20,18:17,11:56
Pomezia,2020/03/17,0	,8.6,17.6	,martedì,06:19,18:18,11:59
Pomezia,2020/03/18,0	,9.0,19.3	,mercoledì,06:17,18:19,12:02
Pomezia,2020/03/19,0	,9.9,19.8	,giovedì,06:15,18:20,12:04
Pomezia,2020/03/20,0	,8.8,18.3	,venerdì,06:13,18:21,12:07
Pomezia,2020/03/21,0	,8.0,18.2	,sabato,06:12,18:22,12:10
Pomezia,2020/03/22,2.6	,9.2,19.0	,domenica,06:10,18:23,12:13
Pomezia,2020/03/23,0	,5.5,14.0	,lunedì,06:08,18:24,12:16
Pomezia,2020/03/24,0	,1.9,10.4	,martedì,06:07,18:26,12:19
Pomezia,2020/03/25,2.4	,1.0,12.9	,mercoledì,06:05,18:27,12:21
Pomezia,2020/03/26,22.6	,4.5,12.2	,giovedì,06:03,18:28,12:24
Pomezia,2020/03/27,1.6	,8.6,15.6	,venerdì,06:01,18:29,12:27
Pomezia,2020/03/28,2.4	,9.5,16.7	,sabato,06:00,18:30,12:30
Pomezia,2020/03/29,0	,8.8,16.8	,domenica,06:58,19:31,12:33
Pomezia,2020/03/30,0	,9.3,18.5	,lunedì,06:56,19:32,12:35
Pomezia,2020/03/31,0	,6.2,18.5	,martedì,06:55,19:33,12:38
Pomezia,2020/04/01,0	,4.4,14.5	,mercoledì ,06:53,19:34,12:41
Pomezia,2020/04/02,0	,4.1,14.5	,giovedì,06:51,19:36,12:44
Pomezia,2020/04/03,0	,5,16,8	    ,venerdì,06:50,19:37,12:47
Pomezia,2020/04/04,0	,6.6,19.3	,sabato,06:48,19:38,12:49
Pomezia,2020/04/05,0	,9,22.4	    ,domenica,06:46,19:39,12:52
Pomezia,2020/04/06,0	,11.1,20.5	,lunedì,06:45,19:40,12:55
Pomezia,2020/04/07,0	,9.4,20	    ,martedì,06:43,19:41,12:58
Pomezia,2020/04/08,0	,10.4,20.4	,mercoledì,06:41,19:42,13:00
Pomezia,2020/04/09,0	,9.8,19.7	,giovedì,06:40,19:43,13:03
Pomezia,2020/04/10,0	,9.3,20.2	,venerdì,06:38,19:44,13:06
Pomezia,2020/04/11,0	,10.2,21.5	,sabato,06:36,19:45,13:09
Pomezia,2020/04/12,0	,10.6,20.2	,domenica,06:35,19:47,13:11
Pomezia,2020/04/13,0	,11.9,21.1	,lunedì,06:33,19:48,13:14
Pomezia,2020/04/14,4.4	,11.16,9	,martedì,06:32,19:49,13:17
Pomezia,2020/04/15,0	,7.8,17.6	,mercoledì,06:30,19:50,13:19
Pomezia,2020/04/16,0	,8.6,18.9	,giovedì,06:28,19:51,13:22
Pomezia,2020/04/17,0	,9.6,20.1	,venerdì,06:27,19:52,13:25
Pomezia,2020/04/18,0	,13.1,19.7	,sabato,06:25,19:53,13:27
Pomezia,2020/04/19,0	,14.4,21.7	,domenica,06:24,19:54,13:30
Pomezia,2020/04/20,15	,14.1,20.2	,lunedì,06:22,19:55,13:33
Pomezia,2020/04/21,0.2	,15,20.3	,martedì,06:21,19:56,13:35
Pomezia,2020/04/22,11	,12.7,17	,mercoledì,06:19,19:58,13:38
Pomezia,2020/04/23,0.2	,13,20	    ,giovedì,06:18,19:59,13:40
Pomezia,2020/04/24,0	,10.9,20.2	,venerdì,06:16,20:00,13:43
Pomezia,2020/04/25,0	,11.7,20.5	,sabato,06:15,20:01,13:46
Pomezia,2020/04/26,0	,10.2,21.2	,domenica,06:13,20:02,13:48
Pomezia,2020/04/27,0.2	,12,21.2	,lunedì,06:12,20:03,13:51
Pomezia,2020/04/28,0	,13.8,20.7	,martedì,06:11,20:04,13:53
Pomezia,2020/04/29,0	,12.7,21	,mercoledì,06:09,20:05,13:55
Pomezia,2020/04/30,0	,12.2,21.7	,giovedì,06:08,20:06,13:58