data,ora,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness,giorno,alba,tramonto,lunghezzadelgiorno,tmin,tmax,pioggia
15/03/20,08:58:30,81,17,22,42,101,63,0.10316649642492338,domenica,06:22:00,18:15:00,11:53:00,9.4,17.7,0.0
16/03/20,06:59:00,77,18,21,38,97,62,0.08983451536643026,lunedì,06:20:00,18:17:00,11:56:00,8.3,17.4,0.0
18/03/20,06:45:00,83,21,22,40,94,62,0.07647740440324449,mercoledì,06:17:00,18:19:00,12:0:002:00,9.0,19.3,0.0
19/03/20,06:54:00,79,20,20,39,91,62,0.08333333333333333,giovedì,06:15:00,18:20:00,12:04:00,9.9,19.8,0.0
20/03/20,07:09:30,80,19,22,39,111,62,0.07119386637458927,venerdì,06:13:00,18:21:00,12:07:00,8.8,18.3,0.0
21/03/20,08:44:30,84,20,22,42,134,61,0.08439646712463199,sabato,06:12:00,18:22:00,12:10:00,8.0,18.2,0.0
22/03/20,08:19:00,86,21,22,43,122,61,0.0769980506822612,domenica,06:10:00,18:23:00,12:13:00,9.2,19.0,2.6
23/03/20,06:25:30,77,18,23,36,104,61,0.09415971394517282,lunedì,06:08:00,18:24:00,12:16:00,5.5,14.0,0.0
24/03/20,06:44:00,82,22,21,39,94,60,0.08775731310942579,martedì,06:07:00,18:26:00,12:19:00,1.9,10.4,0.0
25/03/20,06:50:00,81,18,22,41,92,59,0.0764904386951631,mercoledì,06:05:00,18:27:00,12:21:00,1.0,12.9,2.4
26/03/20,06:59:30,72,22,19,31,105,59,0.08391608391608392,giovedì,06:03:00,18:28:00,12:24:00,4.5,12.2,22.6
27/03/20,07:10:30,84,22,23,39,121,61,0.073512252042007,venerdì,06:01:00,18:29:00,12:27:00,8.6,15.6,1.6
28/03/20,08:42:30,92,24,21,47,140,60,0.08270042194092828,sabato,06:00:00,18:30:00,12:30:00,9.5,16.7,2.4
29/03/20,09:27:00,86,23,21,42,120,60,0.09805735430157261,domenica,06:58:00,19:31:00,12:33:00,8.8,16.8,0.0
30/03/20,06:51:30,80,20,22,38,72,60,0.10011123470522804,lunedì,06:56:00,19:32:00,12:35:00,9.3,18.5,0.0
31/03/20,05:54:00,73,20,21,32,76,60,0.0887218045112782,martedì,06:55:00,19:33:00,12:38:00,6.2,18.5,0.0
01/04/20,06:49:00,74,17,22,35,74,60,0.07863695937090433,mercoledì,06:53:00,19:34:00,12:41:00,4.4,14.5,0.0
02/04/20,06:44:00,84,23,22,39,119,60,0.07957244655581948,giovedì,06:51:00,19:36:00,12:44:00,4.1,14.5,0.0
03/04/20,06:40:00,79,20,21,38,114,60,0.06928406466512702,venerdì,06:50:00,19:37:00,12:47:00,5.0,16.0,0.0
04/04/20,08:55:00,92,24,21,47,128,60,0.08854667949951876,sabato,06:48:00,19:38:00,12:49:00,6.6,19.3,0.0
05/04/20,08:27:00,85,22,23,40,133,61,0.09561752988047809,domenica,06:46:00,19:39:00,12:52:00,9.0,22.4,0.0
06/04/20,06:54:30,72,18,21,33,77,61,0.12546583850931678,lunedì,06:45:00,19:40:00,12:55:00,11.1,20.5,0.0
07/04/20,06:55:00,74,19,23,32,88,60,0.08309037900874636,martedì,06:43:00,19:41:00,12:58:00,9.4,20.0,0.0
08/04/20,06:49:30,76,19,21,36,91,60,0.1059850374064838,mercoledì,06:41:00,19:42:00,13:00:00,10.4,20.4,0.0
09/04/20,06:24:00,74,18,21,35,75,59,0.09654350417163289,giovedì,06:40:00,19:43:00,13:03:00,9.8,19.7,0.0
10/04/20,06:19:30,81,24,19,38,127,58,0.09048178613396005,venerdì,06:38:00,19:44:00,13:06:00,9.3,20.2,0.0
11/04/20,08:29:30,89,22,21,46,100,59,0.09701492537313433,sabato,06:36:00,19:45:00,13:09:00,10.2,21.5,0.0
12/04/20,08:42:00,84,20,22,42,130,59,0.08845738942826321,domenica,06:35:00,19:47:00,13:11:00,10.6,20.2,0.0
13/04/20,07:59:00,83,18,22,43,94,59,0.08384458077709611,lunedì,06:33:00,19:48:00,13:14:00,11.9,21.1,0.0
14/04/20,06:38:30,76,20,22,34,87,58,0.10947930574098798,martedì,06:32:00,19:49:00,13:17:00,11.16,9.0,4.4
15/04/20,06:24:00,74,16,22,36,87,58,0.08464328899637243,mercoledì,06:30:00,19:50:00,13:19:00,7.8,17.6,0.0
16/04/20,06:22:00,83,21,22,40,107,57,0.06408544726301736,giovedì,06:28:00,19:51:00,13:22:00,8.6,18.9,0.0
17/04/20,06:14:30,76,21,19,36,80,57,0.09290322580645162,venerdì,06:27:00,19:52:00,13:25:00,9.6,20.1,0.0
18/04/20,08:39:00,85,23,20,42,118,59,0.08618899273104881,sabato,06:25:00,19:53:00,13:27:00,13.1,19.7,0.0
19/04/20,08:49:00,83,21,21,41,107,60,0.10171198388721048,domenica,06:24:00,19:54:00,13:30:00,14.4,21.7,0.0
20/04/20,06:17:30,76,19,22,35,92,59,0.0912751677852349,lunedì,06:22:00,19:55:00,13:33:00,14.1,20.2,15.0
21/04/20,06:31:00,82,22,23,37,104,59,0.08841843088418432,martedì,06:21:00,19:56:00,13:35:00,15.0,20.3,0.2
22/04/20,06:14:00,80,22,22,36,101,58,0.07373868046571798,mercoledì,06:19:00,19:58:00,13:38:00,12.7,17.0,11.0
23/04/20,08:46:00,86,21,20,45,119,59,0.12829845313921748,giovedì,06:18:00,19:59:00,13:40:00,13.0,20.0,0.2
24/04/20,06:38:30,74,22,20,32,93,59,0.12718786464410736,venerdì,06:16:00,20:00:00,13:43:00,10.9,20.2,0.0
25/04/20,08:16:00,94,25,22,47,153,58,0.07992202729044834,sabato,06:15:00,20:01:00,13:46:00,11.7,20.5,0.0
26/04/20,08:44:30,83,19,22,42,103,59,0.10785340314136126,domenica,06:13:00,20:02:00,13:48:00,10.2,21.2,0.0
27/04/20,06:23:30,76,19,22,35,106,58,0.09796437659033079,lunedì,06:12:00,20:03:00,13:51:00,12.0,21.2,0.2
28/04/20,06:25:00,78,19,22,37,84,57,0.08526187576126674,martedì,06:11:00,20:04:00,13:53:00,13.8,20.7,0.0
29/04/20,06:27:30,72,22,19,31,89,57,0.09590643274853801,mercoledì,06:09:00,20:05:00,13:55:00,12.7,21.0,0.0
30/04/20,07:08:30,58,15,21,22,65,58,0.11432706222865413,giovedì,06:08:00,20:06:00,13:58:00,12.2,21.7,0.0